month,month_name,jakarta_monthly_cases,monthly_share
1,JANUARY,2572,0.10434500385411173
2,FEBRUARY,3278,0.13298713943770538
3,MARCH,4798,0.19465292709643392
4,APRIL,3991,0.16191326220130633
5,MAY,3690,0.14970181346099234
6,JUNE,2193,0.08896912653657349
7,JULY,1200,0.048683516572680434
8,AUGUST,678,0.027506186863564444
9,SEPTEMBER,441,0.01789119234046006
10,OCTOBER,538,0.021826443263418396
11,NOVEMBER,574,0.023286948760598808
12,DECEMBER,696,0.028236439612154652
