year,month,date_month,parent_region,region,penderita_dbd,meninggal,periode_data,data_origin,is_complete_year
2015,2,2015-02-01,JAKARTA PUSAT,MENTENG,4,0,201502,real_jakarta,True
2015,2,2015-02-01,JAKARTA PUSAT,SAWAH BESAR,4,1,201502,real_jakarta,True
2015,2,2015-02-01,JAKARTA PUSAT,SENEN,3,0,201502,real_jakarta,True
2015,2,2015-02-01,JAKARTA PUSAT,TANAH ABANG,5,0,201502,real_jakarta,True
2015,2,2015-02-01,JAKARTA SELATAN,CILANDAK,23,0,201502,real_jakarta,True
2015,2,2015-02-01,JAKARTA SELATAN,JAGAKARSA,24,0,201502,real_jakarta,True
2015,2,2015-02-01,JAKARTA SELATAN,KEBAYORAN BARU,14,0,201502,real_jakarta,True
2015,2,2015-02-01,JAKARTA SELATAN,KEBAYORAN LAMA,19,0,201502,real_jakarta,True
2015,2,2015-02-01,JAKARTA SELATAN,MAMPANG PRAPATAN,8,0,201502,real_jakarta,True
2015,2,2015-02-01,JAKARTA SELATAN,PANCORAN,16,0,201502,real_jakarta,True
2015,2,2015-02-01,JAKARTA SELATAN,PASAR MINGGU,23,0,201502,real_jakarta,True
2015,2,2015-02-01,JAKARTA SELATAN,PESANGGRAHAN,16,0,201502,real_jakarta,True
2015,2,2015-02-01,JAKARTA SELATAN,SETIA BUDI,4,0,201502,real_jakarta,True
2015,2,2015-02-01,JAKARTA SELATAN,TEBET,18,0,201502,real_jakarta,True
2015,2,2015-02-01,JAKARTA TIMUR,CAKUNG,20,0,201502,real_jakarta,True
2015,2,2015-02-01,JAKARTA TIMUR,CIPAYUNG,14,0,201502,real_jakarta,True
2015,2,2015-02-01,JAKARTA TIMUR,CIRACAS,6,0,201502,real_jakarta,True
2015,2,2015-02-01,JAKARTA TIMUR,DUREN SAWIT,23,0,201502,real_jakarta,True
2015,2,2015-02-01,JAKARTA TIMUR,JATINEGARA,7,0,201502,real_jakarta,True
2015,2,2015-02-01,JAKARTA TIMUR,KRAMAT JATI,4,0,201502,real_jakarta,True
2015,2,2015-02-01,JAKARTA TIMUR,MAKASAR,7,0,201502,real_jakarta,True
2015,2,2015-02-01,JAKARTA TIMUR,MATRAMAN,5,0,201502,real_jakarta,True
2015,2,2015-02-01,JAKARTA TIMUR,PASAR REBO,6,0,201502,real_jakarta,True
2015,2,2015-02-01,JAKARTA TIMUR,PULO GADUNG,8,0,201502,real_jakarta,True
2015,2,2015-02-01,JAKARTA UTARA,CILINCING,20,0,201502,real_jakarta,True
2015,2,2015-02-01,JAKARTA UTARA,KELAPA GADING,13,0,201502,real_jakarta,True
2015,2,2015-02-01,JAKARTA UTARA,KOJA,26,0,201502,real_jakarta,True
2015,2,2015-02-01,JAKARTA UTARA,PADEMANGAN,16,0,201502,real_jakarta,True
2015,2,2015-02-01,JAKARTA UTARA,PENJARINGAN,0,0,201502,real_jakarta,True
2015,2,2015-02-01,JAKARTA UTARA,TANJUNG PRIOK,14,1,201502,real_jakarta,True
2015,2,2015-02-01,KABUPATEN KEPULAUAN SERIBU,KEP. SERIBU SELATAN,0,0,201502,real_jakarta,True
2015,2,2015-02-01,KABUPATEN KEPULAUAN SERIBU,KEP. SERIBU UTARA,1,0,201502,real_jakarta,True
2015,3,2015-03-01,JAKARTA BARAT,CENGKARENG,48,0,201503,real_jakarta,True
2015,3,2015-03-01,JAKARTA BARAT,GROGOL PETAMBURAN,48,0,201503,real_jakarta,True
2015,3,2015-03-01,JAKARTA BARAT,KALIDERES,36,0,201503,real_jakarta,True
2015,3,2015-03-01,JAKARTA BARAT,KEBON JERUK,14,0,201503,real_jakarta,True
2015,3,2015-03-01,JAKARTA BARAT,KEMBANGAN,4,0,201503,real_jakarta,True
2015,3,2015-03-01,JAKARTA BARAT,PALMERAH,13,0,201503,real_jakarta,True
2015,3,2015-03-01,JAKARTA BARAT,TAMAN SARI,28,0,201503,real_jakarta,True
2015,3,2015-03-01,JAKARTA BARAT,TAMBORA,14,0,201503,real_jakarta,True
2015,3,2015-03-01,JAKARTA PUSAT,CEMPAKA PUTIH,3,0,201503,real_jakarta,True
2015,3,2015-03-01,JAKARTA PUSAT,GAMBIR,9,0,201503,real_jakarta,True
2015,3,2015-03-01,JAKARTA PUSAT,JOHAR BARU,9,0,201503,real_jakarta,True
2015,3,2015-03-01,JAKARTA PUSAT,KEMAYORAN,29,0,201503,real_jakarta,True
2015,3,2015-03-01,JAKARTA PUSAT,MENTENG,9,0,201503,real_jakarta,True
2015,3,2015-03-01,JAKARTA PUSAT,SAWAH BESAR,9,0,201503,real_jakarta,True
2015,3,2015-03-01,JAKARTA PUSAT,SENEN,10,0,201503,real_jakarta,True
2015,3,2015-03-01,JAKARTA PUSAT,TANAH ABANG,7,0,201503,real_jakarta,True
2015,3,2015-03-01,JAKARTA SELATAN,CILANDAK,27,0,201503,real_jakarta,True
2015,3,2015-03-01,JAKARTA SELATAN,JAGAKARSA,21,0,201503,real_jakarta,True
2015,3,2015-03-01,JAKARTA SELATAN,KEBAYORAN BARU,16,0,201503,real_jakarta,True
2015,3,2015-03-01,JAKARTA SELATAN,KEBAYORAN LAMA,18,0,201503,real_jakarta,True
2015,3,2015-03-01,JAKARTA SELATAN,MAMPANG PRAPATAN,11,0,201503,real_jakarta,True
2015,3,2015-03-01,JAKARTA SELATAN,PANCORAN,20,0,201503,real_jakarta,True
2015,3,2015-03-01,JAKARTA SELATAN,PASAR MINGGU,19,0,201503,real_jakarta,True
2015,3,2015-03-01,JAKARTA SELATAN,PESANGGRAHAN,20,0,201503,real_jakarta,True
2015,3,2015-03-01,JAKARTA SELATAN,SETIA BUDI,6,0,201503,real_jakarta,True
2015,3,2015-03-01,JAKARTA SELATAN,TEBET,23,0,201503,real_jakarta,True
2015,3,2015-03-01,JAKARTA TIMUR,CAKUNG,26,1,201503,real_jakarta,True
2015,3,2015-03-01,JAKARTA TIMUR,CIPAYUNG,16,0,201503,real_jakarta,True
2015,3,2015-03-01,JAKARTA TIMUR,CIRACAS,10,0,201503,real_jakarta,True
2015,3,2015-03-01,JAKARTA TIMUR,DUREN SAWIT,51,0,201503,real_jakarta,True
2015,3,2015-03-01,JAKARTA TIMUR,JATINEGARA,12,0,201503,real_jakarta,True
2015,3,2015-03-01,JAKARTA TIMUR,KRAMAT JATI,17,0,201503,real_jakarta,True
2015,3,2015-03-01,JAKARTA TIMUR,MAKASAR,15,0,201503,real_jakarta,True
