region,region_type,province,latitude,longitude,risk_multiplier,population_placeholder
JAKARTA BARAT,kota,DKI JAKARTA,-6.1683,106.7588,1.00,2400000
JAKARTA SELATAN,kota,DKI JAKARTA,-6.2615,106.8106,1.00,2200000
JAKARTA PUSAT,kota,DKI JAKARTA,-6.1865,106.8341,1.00,1100000
JAKARTA UTARA,kota,DKI JAKARTA,-6.1384,106.8639,1.00,1800000
JAKARTA TIMUR,kota,DKI JAKARTA,-6.2250,106.9004,1.00,3000000
KABUPATEN KEPULAUAN SERIBU,kabupaten,DKI JAKARTA,-5.7985,106.5072,1.00,30000
